Tre Fiori (San) ;Bala (Wal)  
B36 Torshavn (Fai) ;St Josephs (Gib)  
Druids (Wal) ;Trakai (Ltu)  
UE Engordany (And) ;Folgore (San)  
Birkirkara (Mlt) ;Klaksvik (Fai)  
Europa FC (Gib) ;Prishtina (Kos)  
Sant Julia (And) ;Gzira (Mlt)  
Liverpool;Sevilla 
Liverpool;Villarreal 
Sevilla;Shakhtar Donetsk 
Shakhtar Donetsk;Sevilla 
Villarreal;Liverpool 
Liverpool;Dortmund 
Sevilla;Ath Bilbao 
Shakhtar Donetsk;Braga 
Sparta Prague;Villarreal 
Ath Bilbao;Sevilla 
Braga;Shakhtar Donetsk 
Dortmund;Liverpool 
Villarreal;Sparta Prague 
Anderlecht;Shakhtar Donetsk 
Braga;Fenerbahce 
Manchester United;Liverpool 
Sevilla;Basel 
Tottenham;Dortmund 
Bayer Leverkusen;Villarreal 
Lazio;Sparta Prague 
Valencia;Ath Bilbao 
Ath Bilbao;Valencia 
Liverpool;Manchester United 
Sparta Prague;Lazio 
Villarreal;Bayer Leverkusen 
Basel;Sevilla 
Dortmund;Tottenham 
Fenerbahce;Braga 
Shakhtar Donetsk;Anderlecht 
Basel;St Etienne 
FC Porto;Dortmund 
Manchester United;Midtjylland 
Molde;Sevilla 
Napoli;Villarreal 
Olympiakos Piraeus;Anderlecht 
Tottenham;Fiorentina 
Ath Bilbao;Marseille 
Bayer Leverkusen;Sporting 
Krasnodar;Sparta Prague 
Lazio;Galatasaray 
Liverpool;Augsburg 
Rapid Vienna;Valencia 
Schalke;Shakhtar Donetsk 
Lokomotiv Moscow;Fenerbahce 
Braga;Sion 
Augsburg;Liverpool 
Galatasaray;Lazio 
Shakhtar Donetsk;Schalke 
Sion;Braga 
Sparta Prague;Krasnodar 
Dnipro;Sevilla 
Dnipro;Napoli 
Fiorentina;Sevilla 
Napoli;Dnipro 
Sevilla;Fiorentina 
Dnipro;Club Brugge KV 
Fiorentina;Dyn. Kyiv 
Napoli;Wolfsburg 
Zenit Petersburg;Sevilla 
Club Brugge KV;Dnipro 
Dyn. Kyiv;Fiorentina 
Sevilla;Zenit Petersburg 
Wolfsburg;Napoli 
Ajax;Dnipro 
Besiktas;Club Brugge KV 
Inter;Wolfsburg 
Sevilla;Villarreal 
Torino;Zenit Petersburg 
AS Roma;Fiorentina 
Dyn. Kyiv;Everton 
Dynamo Moscow;Napoli 
Everton;Dyn. Kyiv 
Fiorentina;AS Roma 
Napoli;Dynamo Moscow 
Villarreal;Sevilla 
Club Brugge KV;Besiktas 
Dnipro;Ajax 
Wolfsburg;Inter 
Zenit Petersburg;Torino 
Ath Bilbao;Torino 
Club Brugge KV;Aalborg 
Everton;Young Boys 
Feyenoord;AS Roma 
Napoli;Trabzonspor 
Olympiakos Piraeus;Dnipro 
Sporting;Wolfsburg 
B. Monchengladbach;Sevilla 
Besiktas;Liverpool 
Dyn. Kyiv;Guingamp 
Fiorentina;Tottenham 
Inter;Celtic 
Legia;Ajax 
Salzburg;Villarreal 
Dynamo Moscow;Anderlecht 
Zenit Petersburg;PSV 
Guingamp;Dyn. Kyiv 
Liverpool;Besiktas 
Sevilla;B. Monchengladbach 
Tottenham;Fiorentina 
Villarreal;Salzburg 
Sevilla;Benfica 
Juventus;Benfica 
Valencia;Sevilla 
Benfica;Juventus 
Sevilla;Valencia 
Benfica;AZ Alkmaar 
Juventus;Lyon 
Sevilla;FC Porto 
Valencia;Basel 
AZ Alkmaar;Benfica 
Basel;Valencia 
FC Porto;Sevilla 
Lyon;Juventus 
Betis;Sevilla 
Napoli;FC Porto 
Salzburg;Basel 
Benfica;Tottenham 
Fiorentina;Juventus 
Plzen;Lyon 
Valencia;Ludogorets 
FK Anzi Makhackala;AZ Alkmaar 
AZ Alkmaar;FK Anzi Makhackala 
Juventus;Fiorentina 
Lyon;Plzen 
Sevilla;Betis 
Tottenham;Benfica 
Basel;Salzburg 
FC Porto;Napoli 
Ludogorets;Valencia 
AZ Alkmaar;Liberec 
Benfica;PAOK 
Fiorentina;Esbjerg 
Genk;FK Anzi Makhackala 
Lyon;Ch. Odessa 
Tottenham;Dnipro 
Trabzonspor;Juventus 
Valencia;Dyn. Kyiv 
Basel;Maccabi Tel Aviv 
Eintracht Frankfurt;FC Porto 
Ludogorets;Lazio 
Napoli;Swansea 
Salzburg;Ajax 
Sevilla;Maribor 
Shakhtar Donetsk;Plzen 
Rubin Kazan;Betis 
Betis;Rubin Kazan 
FC Porto;Eintracht Frankfurt 
Lazio;Ludogorets 
Maribor;Sevilla 
Swansea;Napoli 
Benfica;Chelsea
Benfica;Fenerbahce 
Chelsea;Basel 
Basel;Chelsea 
Fenerbahce;Benfica 
Basel;Tottenham 
Lazio;Fenerbahce 
Newcastle;Benfica 
Rubin Kazan;Chelsea 
Benfica;Newcastle 
Chelsea;Rubin Kazan 
Fenerbahce;Lazio 
Tottenham;Basel 
Bordeaux;Benfica 
Chelsea;FCSB 
Fenerbahce;Plzen 
Lazio;Stuttgart 
Newcastle;FK Anzi Makhackala 
Inter;Tottenham 
Rubin Kazan;Levante 
Zenit Petersburg;Basel 
Basel;Zenit Petersburg 
Benfica;Bordeaux 
Levante;Rubin Kazan 
Tottenham;Inter 
FCSB;Chelsea 
Plzen;Fenerbahce 
Stuttgart;Lazio 
FK Anzi Makhackala;Newcastle 
Benfica;Bayer Leverkusen 
Bordeaux;Dyn. Kyiv 
Chelsea;Sparta Prague 
FCSB;Ajax 
Fenerbahce;BATE 
Hannover;FK Anzi Makhackala 
Liverpool;Zenit Petersburg 
Olympiakos Piraeus;Levante 
Plzen;Napoli 
CFR Cluj;Inter 
Dnipro;Basel 
Genk;Stuttgart 
Lazio;B. Monchengladbach 
Lyon;Tottenham 
Metalist Kharkiv;Newcastle 
Rubin Kazan;Atl. Madrid 
Atl. Madrid;Rubin Kazan 
Basel;Dnipro 
Inter;CFR Cluj 
Newcastle;Metalist Kharkiv 
Stuttgart;Genk 
Atl. Madrid;Ath Bilbao 
Ath Bilbao;Sporting 
Valencia;Atl. Madrid 
Atl. Madrid;Valencia 
Sporting;Ath Bilbao 
Ath Bilbao;Schalke 
Hannover;Atl. Madrid 
Metalist Kharkiv;Sporting 
Valencia;AZ Alkmaar 
Atl. Madrid;Hannover 
AZ Alkmaar;Valencia 
Schalke;Ath Bilbao 
Sporting;Metalist Kharkiv 
Besiktas;Atl. Madrid 
Manchester City;Sporting 
Olympiakos Piraeus;Metalist Kharkiv 
Schalke;Twente 
Ath Bilbao;Manchester United 
Hannover;St. Liege 
PSV;Valencia 
Udinese;AZ Alkmaar 
AZ Alkmaar;Udinese 
Manchester United;Ath Bilbao 
St. Liege;Hannover 
Valencia;PSV 
Atl. Madrid;Besiktas 
Metalist Kharkiv;Olympiakos Piraeus 
Sporting;Manchester City 
Twente;Schalke 
Anderlecht;AZ Alkmaar 
Atl. Madrid;Lazio 
Besiktas;Braga 
Manchester United;Ajax 
Metalist Kharkiv;Salzburg 
Olympiakos Piraeus;Rubin Kazan 
Schalke;Plzen 
Sporting;Legia 
Ath Bilbao;Lokomotiv Moscow 
Club Brugge KV;Hannover 
PAOK;Udinese 
PSV;Trabzonspor 
St. Liege;Wisla 
Twente;FCSB 
Valencia;Stoke 
Manchester City;FC Porto 
FC Porto;Manchester City 
Hannover;Club Brugge KV 
Stoke;Valencia 
Trabzonspor;PSV 
Udinese;PAOK 
FC Porto;Braga 
Braga;Benfica 
Villarreal;FC Porto 
Benfica;Braga 
FC Porto;Villarreal 
Braga;Dyn. Kyiv 
PSV;Benfica 
Twente;Villarreal 
Spartak Moscow;FC Porto 
Benfica;PSV 
Dyn. Kyiv;Braga 
FC Porto;Spartak Moscow 
Villarreal;Twente 
FC Porto;CSKA Moscow 
Liverpool;Braga 
Rangers;PSV 
Villarreal;Bayer Leverkusen 
Manchester City;Dyn. Kyiv 
Paris SG;Benfica 
Spartak Moscow;Ajax 
Zenit Petersburg;Twente 
Ajax;Spartak Moscow 
Benfica;Paris SG 
Dyn. Kyiv;Manchester City 
Twente;Zenit Petersburg 
Bayer Leverkusen;Villarreal 
Braga;Liverpool 
CSKA Moscow;FC Porto 
PSV;Rangers 
Ajax;Anderlecht 
Braga;Lech Poznan 
Dyn. Kyiv;Besiktas 
Manchester City;Aris 
Paris SG;BATE 
Twente;Rubin Kazan 
Stuttgart;Benfica 
Villarreal;Napoli 
Bayer Leverkusen;Metalist Kharkiv 
Liverpool;Sparta Prague 
PSV;Lille 
Spartak Moscow;Basel 
Sporting;Rangers 
Zenit Petersburg;Young Boys 
FC Porto;Sevilla 
CSKA Moscow;PAOK 
Basel;Spartak Moscow 
Rangers;Sporting 
Sevilla;FC Porto 
Sparta Prague;Liverpool 
Young Boys;Zenit Petersburg 
Atl. Madrid;Fulham
Fulham;Hamburger SV 
Liverpool;Atl. Madrid 
Atl. Madrid;Liverpool 
Hamburger SV;Fulham 
Atl. Madrid;Valencia 
Liverpool;Benfica 
St. Liege;Hamburger SV 
Wolfsburg;Fulham 
Benfica;Liverpool 
Fulham;Wolfsburg 
Hamburger SV;St. Liege 
Valencia;Atl. Madrid 
Anderlecht;Hamburger SV 
Liverpool;Lille 
Sporting;Atl. Madrid 
Wolfsburg;Rubin Kazan 
Fulham;Juventus 
St. Liege;Panathinaikos 
Werder Bremen;Valencia 
Juventus;Fulham 
Panathinaikos;St. Liege 
Valencia;Werder Bremen 
Atl. Madrid;Sporting 
Hamburger SV;Anderlecht 
Lille;Liverpool 
Rubin Kazan;Wolfsburg 
Fenerbahce;Lille 
Hapoel Tel Aviv;Rubin Kazan 
Juventus;Ajax 
Salzburg;St. Liege 
Sporting;Everton 
Valencia;Club Brugge KV 
Werder Bremen;Twente 
Wolfsburg;Villarreal 
Anderlecht;Ath Bilbao 
AS Roma;Panathinaikos 
Galatasaray;Atl. Madrid 
PSV;Hamburger SV 
Shakhtar Donetsk;Fulham 
Unirea Urziceni;Liverpool 
Benfica;Hertha Berlin 
Ath Bilbao;Anderlecht 
Atl. Madrid;Galatasaray 
Fulham;Shakhtar Donetsk 
Hamburger SV;PSV 
Hertha Berlin;Benfica 
Liverpool;Unirea Urziceni 
Panathinaikos;AS Roma 
Villarreal;Wolfsburg 
Shakhtar Donetsk;Werder Bremen
Hamburger SV;Werder Bremen 
Shakhtar Donetsk;Dyn. Kyiv 
Werder Bremen;Hamburger SV 
Dyn. Kyiv;Shakhtar Donetsk 
Manchester City;Hamburger SV 
Marseille;Shakhtar Donetsk 
Udinese;Werder Bremen 
Dyn. Kyiv;Paris SG 
Hamburger SV;Manchester City 
Paris SG;Dyn. Kyiv 
Werder Bremen;Udinese 
Shakhtar Donetsk;Marseille 
Braga;Paris SG 
Aalborg;Manchester City 
Galatasaray;Hamburger SV 
Shakhtar Donetsk;CSKA Moscow 
Zenit Petersburg;Udinese 
Metalist Kharkiv;Dyn. Kyiv 
Ajax;Marseille 
St Etienne;Werder Bremen 
Manchester City;Aalborg 
Marseille;Ajax 
Udinese;Zenit Petersburg 
Werder Bremen;St Etienne 
Paris SG;Braga 
CSKA Moscow;Shakhtar Donetsk 
Dyn. Kyiv;Metalist Kharkiv 
Hamburger SV;Galatasaray 
Valencia;Dyn. Kyiv 
Dep. La Coruna;Aalborg 
Tottenham;Shakhtar Donetsk 
St Etienne;Olympiakos Piraeus 
AC Milan;Werder Bremen 
Ajax;Fiorentina 
Manchester City;FC Copenhagen 
St. Liege;Braga 
Udinese;Lech Poznan 
Stuttgart;Zenit Petersburg 
Galatasaray;Bordeaux 
Wolfsburg;Paris SG 
Twente;Marseille 
Hamburger SV;Nijmegen 
CSKA Moscow;Aston Villa 
Metalist Kharkiv;Sampdoria 
Fiorentina;Ajax 
Marseille;Twente 
FC Copenhagen;Manchester City 
Shakhtar Donetsk;Tottenham 
Lech Poznan;Udinese 
Zenit Petersburg;Rangers
Fiorentina;Rangers 
Zenit Petersburg;Bayern Munich 
Bayern Munich;Zenit Petersburg 
Rangers;Fiorentina 
Getafe;Bayern Munich 
PSV;Fiorentina 
Sporting;Rangers 
Zenit Petersburg;Bayer Leverkusen 
Bayern Munich;Getafe 
Fiorentina;PSV 
Rangers;Sporting 
Bayer Leverkusen;Zenit Petersburg 
Sporting;Bolton 
Werder Bremen;Rangers 
Getafe;Benfica 
Bayern Munich;Anderlecht 
Everton;Fiorentina 
PSV;Tottenham 
Hamburger SV;Bayer Leverkusen 
Zenit Petersburg;Marseille 
Benfica;Getafe 
Bayer Leverkusen;Hamburger SV 
Tottenham;PSV 
Bolton;Sporting 
Rangers;Werder Bremen 
Fiorentina;Everton 
Marseille;Zenit Petersburg 
Anderlecht;Bayern Munich 
Braga;Werder Bremen 
Basel;Sporting 
Everton;Brann 
Nurnberg;Benfica 
Atl. Madrid;Bolton 
Bordeaux;Anderlecht 
Fiorentina;Rosenborg 
Getafe;AEK Athens FC 
Helsingborg;PSV 
Tottenham;Slavia Prague 
Villarreal;Zenit Petersburg 
Bayern Munich;Aberdeen 
Panathinaikos;Rangers 
Spartak Moscow;Marseille 
Bayer Leverkusen;Galatasaray 
Hamburger SV;Zurich 
Benfica;Nurnberg 
Bolton;Atl. Madrid 
Slavia Prague;Tottenham 
Rosenborg;Fiorentina 
Zurich;Hamburger SV 
